Despensa familiar Atiquizaya,"13.976582, -89.755032","4a. Calle Pte, Atiquizaya",AHUACHAPAN
Despensa Familiar Chalatenango,"14.039592, -88.939693","6a Calle Poniente, Chalatenango, El Salvador",CHALATENANGO
Centro Comercial Las Cascadas,"13.678295, -89.250425","Avenida Jerusalén y Carretera Panamericana, Oficinas administrativas L221, Nivel 2, contiguo a Anda, Antiguo Cuscatlán CP 1502",LA LIBERTAD
Multiplaza Área de Cafeterías 1er Nivel,"13.679667, -89.248863","Carretera Panamericana, Antiguo Cuscatlan, La Libertad",LA LIBERTAD
Plaza Merliot (Food Court 2o. Nivel),"13.678704, -89.275867","17 Ave Norte, Santa Tecla, La Libertad",LA LIBERTAD
Centro Comercial La Gran Vía,"13.677406, -89.254473","Carretera Panamericana y Calle Chiltiupán. Antiguo Cuscatlán, La Libertad El Salvador.",LA LIBERTAD
Centro Comercial La Joya ( Entrada Dollar City),"13.657353, -89.279167","Km 12 Carretera al Puerto de la Libertad, Centro Comercial La Joya, La Libertad, Santa Tecla El Salvador, C.A., Carretera Puerto La Libertad, Santa Tecla",LA LIBERTAD
Centro Comercial Santa Elena (a un costado de Kreef),"13.667642, -89.256390","3ra. Av 8-56 Plaza Santa Elena Mazate, Antiguo Cuscatlán",LA LIBERTAD
Centro Comercial Santa Rosa ( Frente a Condado Santa Rosa),"13.678101, -89.300921","Calle Real, Santa Tecla",LA LIBERTAD
Texaco Ateos,"13.740311, -89.424474","Carr. a Sonsonate Km. 30 Sacacoyo, La Libertad, El Salvador",LA LIBERTAD
Hotel Roca Sunzal ,"13.493377, -89.384939","Cl a La Bocana Playa El Tunco, Tamanique, La Libertad",LA LIBERTAD
Despensa Familiar La Unión (Fte al parque),"13.336822, -87.842663","1A Avenida Norte, La Unión",LA UNION
Metrocentro San Miguel,"13.461544, -88.165057","Calle metrocentro, San Miguel",SAN MIGUEL
Galerías Escalón (área de Bancos),"13.702396, -89.229915","Paseo General Escalón #3700, San Salvador, El Salvador C.A",SAN SALVADOR
Metrocentro San Salvador (Cinemark 9a Etapa),"13.705598, -89.211948","Boulevard De Los Héroes, San Salvador",SAN SALVADOR
Plaza Mundo Soyapango  (área de Bancos),"13.698772, -89.150310","CA 1W, San Salvador",SAN SALVADOR
Unicentro Metrópolis,"13.729487, -89.210213","Calle Zacamil, San Salvador",SAN SALVADOR
Unicentro-AltaVista,"13.716487, -89.097521","Ilopango, San Salvador",SAN SALVADOR
Centro Comercial Plaza San Jacinto,"13.684680, -89.191783","Av Los Diplomáticos, San Salvador",SAN SALVADOR
Torre Futura ,"13.708527, -89.241044","87 Avenida Norte, San Salvador",SAN SALVADOR
Maxidespensa San Marcos,"13.661384, -89.183084","Carretera A Zacatecoluca, San Salvador",SAN SALVADOR
Despensa Familiar Aguilares,"13.958119, -89.188138","6a Calle Pte. #3 Bo El Centro Aguilares San Salvador, Aguilares",SAN SALVADOR
Walmart Soyapango,"13.700438, -89.150716","4 Av. Sur, Km. 4 ½, Boulevard del Ejército.",SAN SALVADOR
Walmart Escalon,"13.698430, -89.228195","Colonia Escalón entre la calle nueva 1 y la calle nueva 2, antiguo Hiper Europa.",SAN SALVADOR
Walmart Mejicanos,"13.736095, -89.215972","Final del Blvd. Constitución, frente al Redondel Shafik Handal, Mejicanos.",SAN SALVADOR
Alba Bolívar,"13.699065, -89.198125","Calle Ruben Dario, San Salvador, El Salvador",SAN SALVADOR
Alba Masferrer ,"13.722882, -89.234391","Avenida Jerusalen 0006, San Salvador, El Salvador",SAN SALVADOR
Texaco Navarra,"13.677847, -89.207906","Autopista Comalapa, San Salvador, El Salvador",SAN SALVADOR
Ministerio de Obras Públicas,"13.690660, -89.233507","Km. 5.5, Alameda Manuel Enrique Araujo, San Salvador 2112",SAN SALVADOR
ISDEM ( Instituto Salvadoreño de Empleados Municipales),"13.703931, -89.234672","4a Calle Poniente, San Salvador, El Salvador",SAN SALVADOR
Metrocentro Santa Ana (Food Court),"13.977492, -89.562112","6a Avenida Sur, Santa Ana",SANTA ANA
Metrocentro Sonsonate ,"13.712482, -89.725363",Sonsonate,SONSONATE
Despensa Familiar Izalco,"13.748281, -89.674698"," Ave. Morazan Y 3ra. C. Poniente Bo., Dolores De La Calidad De Izalco Izalco Sonsonate, Izalco",SONSONATE